what,kind,bundleId,bundleVersion,description,time
activated,view,org.eclipse.jdt.ui,3.4.0.v20080603-2000,org.eclipse.jdt.ui.PackageExplorer,1224492588831
opened,editor,org.eclipse.jdt.ui,3.4.0.v20080603-2000,org.eclipse.jdt.ui.CompilationUnitEditor,1224492589102
activated,editor,org.eclipse.jdt.ui,3.4.0.v20080603-2000,org.eclipse.jdt.ui.CompilationUnitEditor,1224492589222
activated,view,org.eclipse.jdt.ui,3.4.0.v20080603-2000,org.eclipse.jdt.ui.PackageExplorer,1224492590904
executed,command,org.eclipse.ui,3.4.0.I20080610-1200,org.eclipse.ui.file.refresh,1224492592457
deactivated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1224492594560
activated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1224492648958
executed,command,org.eclipse.ui,3.4.0.I20080610-1200,org.eclipse.ui.file.refresh,1224492651191
deactivated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1224492651501
activated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1224492654416
activated,editor,org.eclipse.jdt.ui,3.4.0.v20080603-2000,org.eclipse.jdt.ui.CompilationUnitEditor,1224492659733
activated,view,org.eclipse.jdt.ui,3.4.0.v20080603-2000,org.eclipse.jdt.ui.PackageExplorer,1224492660444
deactivated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1224492873070
activated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1224492881923
started,bundle,org.eclipse.core.variables,3.2.100.v20080529-1300,org.eclipse.core.variables,1224492882794
deactivated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1224492887901
activated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1224492889644
executed,command,org.eclipse.jdt.debug.ui,3.3.0.v20080603,org.eclipse.jdt.debug.ui.localJavaShortcut.run,1224492890014
deactivated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1224492899248
activated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1224492905997
deactivated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1224492913568
activated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1224492948559
executed,command,org.eclipse.ui,3.4.0.I20080610-1200,org.eclipse.ui.file.refresh,1224492951653
opened,editor,org.eclipse.jdt.ui,3.4.0.v20080603-2000,org.eclipse.jdt.ui.CompilationUnitEditor,1224492953876
activated,editor,org.eclipse.jdt.ui,3.4.0.v20080603-2000,org.eclipse.jdt.ui.CompilationUnitEditor,1224492954107
